Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-3953.457	-4371.834	418.377	1.63405	8.586136	0.3669864	2.482462
4164	-3962.719	-4380.827	418.1081	1.352404	8.628675	0.6237965	2.551206
6	-3942.247	-4360.437	418.1902	1.501021	8.116965	0.494375	2.589227
4170	-3974.342	-4393.2	418.8584	1.438187	7.643224	0.677423	2.088772
12	-3949.521	-4367.976	418.4548	1.458178	7.734132	0.6217745	2.373851
18	-3943.699	-4361.526	417.8267	1.429624	7.264025	0.682716	2.78793
4176	-3962.747	-4381.366	418.619	1.496866	8.108915	0.626063	2.19408
24	-3945.445	-4363.432	417.9874	1.558635	7.417709	0.4695921	2.78793
4182	-3964.614	-4383.562	418.948	1.554879	7.906279	0.7126948	1.885849
30	-3963.488	-4381.945	418.4574	1.588352	8.50758	0.4737286	2.343641
4188	-3965.051	-4383.945	418.8936	1.537303	7.906279	0.7051875	1.941091
36	-3962.819	-4381.245	418.4264	1.614885	8.852625	0.4298626	2.357012
4194	-3969.579	-4388.496	418.9177	1.552026	7.423381	0.5759615	2.09794
42	-3965.364	-4384.075	418.7109	1.614885	8.166389	0.3482094	2.357012
48	-3949.32	-4367.748	418.4283	1.564079	8.51759	0.4033388	2.456784
4200	-3962.284	-4381.048	418.7639	1.55363	8.201473	0.5759615	2.098785
54	-3950.981	-4369.074	418.0931	1.498081	9.192942	0.5706675	2.456784
4206	-3944.824	-4363.965	419.1414	1.55287	7.742889	0.6469974	1.836358
60	-3949.331	-4367.496	418.1651	1.51569	8.811489	0.4342755	2.582495
4212	-3947.049	-4366.182	419.1332	1.544071	8.028246	0.7200919	1.742853
66	-3963.506	-4382.804	419.2973	1.64794	8.270106	0.428437	1.832881
72	-3966.613	-4385.72	419.1068	1.644985	8.063635	0.5679499	1.832881
4218	-3949.071	-4368.032	418.9602	1.548003	8.061219	0.6475338	1.920961
78	-3957.306	-4376.16	418.8541	1.548437	7.73606	0.5736526	2.103486
4224	-3953.361	-4372.17	418.8086	1.554872	8.067985	0.5522309	2.10868
84	-3966.41	-4385.23	418.8195	1.548437	7.020459	0.7367219	2.075156
4230	-3952.559	-4371.485	418.9258	1.505722	7.322355	0.6030795	2.110275
90	-3974.222	-4393.208	418.9868	1.559752	7.500054	0.7353349	1.89081
96	-3960.455	-4379.27	418.8149	1.581333	7.629246	0.7384953	1.972159
4236	-3953.704	-4371.473	417.7686	1.374467	7.131327	0.6023837	2.940647
102	-3956.889	-4375.009	418.1195	1.441409	7.870234	0.6803647	2.527918
4242	-3951.287	-4368.899	417.6113	1.38215	7.676817	0.4854223	3.073623
108	-3960.109	-4377.774	417.6655	1.337213	7.924178	0.7013473	2.847626
4248	-3966.23	-4384.25	418.0197	1.436821	7.274904	0.6860443	2.661283
114	-3953.908	-4370.653	416.7452	1.340498	7.703593	0.4781564	3.611696
4254	-3964.433	-4382.189	417.7558	1.407059	8.520804	0.532099	2.830114
120	-3942.192	-4358.961	416.7691	1.340498	8.062121	0.4962646	3.539987
126	-3955.978	-4372.688	416.7096	1.265085	7.505227	0.5259492	3.653167
4260	-3965.466	-4383.661	418.1952	1.417961	8.628084	0.4829292	2.591547
132	-3966.509	-4383.092	416.5834	1.36609	7.03223	0.606782	3.653167
4266	-3972.172	-4389.987	417.8158	1.370868	8.685202	0.5422975	2.787987
138	-3950.944	-4367.677	416.7335	1.356901	6.795264	0.5465586	3.653167
4272	-3969.929	-4387.261	417.3323	1.219194	9.332081	0.4930177	3.150913
144	-3952.202	-4369.095	416.8929	1.2781	7.759487	0.5868208	3.455351
